用户id,用户名,评论时间,IP地址,评论内容,点赞数量,aweme_id
4218188951978638,陈雯奶奶,2025.10.11,河南,[666][666][666][666][666][666][666][666][666],0,7559867871112596762
3877331285846233,丢丢,2025.10.11,浙江,[爱心][爱心][爱心][爱心][爱心][爱心][666][666][666][666][666][666][666][666][666][666][666][爱心][爱心][爱心],0,7559867871112596762
3833332824810083,明飞译,2025.10.11,广东,[666][666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
105692913973,邓忠康,2025.10.11,广西,[666][666][666][666][666][666][爱心手][爱心手][爱心手][666][666][666][666][贴贴][贴贴][贴贴][666][贴贴][抱抱你][抱抱你][抱抱你][抱抱你][抱抱你][抱抱你][抱抱你],0,7559867871112596762
3765192443822832,用户3802976536837,2025.10.11,江苏,[666][666],0,7559867871112596762
105790318048,你大爷,2025.10.11,河南,[666][666][666][666][666][666][666][666][666],0,7559867871112596762
223926869821304,一一一一,2025.10.11,江苏,[666][666][666][666][666][666][666],0,7559867871112596762
3173612314963428,用户8841581899437,2025.10.11,浙江,[粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][粽子][红包][红包][红包][握爪][握爪][握爪][平安果][糖葫芦][圣诞帽][蕉绿][栓Q][月亮][月亮][月亮][月亮],0,7559867871112596762
3208849454801275,老孜蜀道山,2025.10.11,四川,66666666666666666666,0,7559867871112596762
1760771693092905,大,2025.10.11,河南,[抱抱你][调皮][流泪][色][害羞][星星眼][鼓掌][呲牙][抠鼻][害羞][赞][666][666][666],0,7559867871112596762
655733950002959,涵涵,2025.10.11,山东,这个哪吒好帅 你喜欢谁 我喜欢和哪吒点赞的,0,7559867871112596762
106546195350,”小仙女”,2025.10.11,浙江,[抱抱你][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心][爱心],0,7559867871112596762
61437364484,Meet you,2025.10.11,河南,[偷笑][偷笑][偷笑][偷笑][偷笑][偷笑][偷笑][666][666][666][666][666][666][666][来看我][来看我][来看我][来看我][来看我][来看我][来看我][来看我][图片表情],0,7559867871112596762
79300514540,梦想成真qian,2025.10.11,河南,@敖丙一夫人。,0,7559867871112596762
3115356487705280,丫丫,2025.10.11,河北,[666][晕][衰][震惊][哈欠][一起加油][来看我][闭嘴][666][石化][偷笑],0,7559867871112596762
1555144804936746,果汁分你一半,2025.10.11,湖北,[爱心][爱心][爱心][666][666][666],0,7559867871112596762
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762
109091364799,浅,2025.10.11,浙江,[666][666][666],0,7559867871112596762
4258847180721706,不要打我吗,2025.10.11,浙江,[666][666][666][666][666][666][666][666][666][666][666],0,7559867871112596762
1197841813615504,^柔月^.,2025.10.11,江苏,[666][666][666][666][666][666][666][666][打脸][震惊][小鼓掌][泣不成声][震惊][送心],0,7559867871112596762
1889421198103370,醉梦人生,2025.10.11,福建,[666][666][666][666][666][666][666],0,7559867871112596762
1366048992673428,卖早餐的青姨,2025.10.11,广东,[666][666][666],0,7559867871112596762
3930135046662313,大斗牛排平洲玉器街夜市,2025.10.11,广东,[666][666][666],0,7559867871112596762
2744858501451933,用户4869869434999,2025.10.11,广东,666,0,7559867871112596762
1794858547677677,英英,2025.10.11,广东,[666][666][666][666][衰][666],0,7559867871112596762
104232409992,毛毛雨,2025.10.11,河南,[666][666],0,7559867871112596762
675516177723754,王公子 晚7:40,2025.10.11,内蒙古,[666][666][666][666],0,7559867871112596762
1943589088399981,时尚穿搭女装,2025.10.11,贵州,666,0,7559867871112596762
2036724870944408,陈健,2025.10.11,河北,[666],0,7559867871112596762
1943589088399981,时尚穿搭女装,2025.10.11,贵州,666,0,7559867871112596762
655733950002959,涵涵,2025.10.11,山东,这个哪吒好帅 你喜欢谁 我喜欢和哪吒点赞的,0,7559867871112596762
1794858547677677,英英,2025.10.11,广东,[666][666][666][666][衰][666],0,7559867871112596762
3997442930116135,用户6232725468772,2025.10.11,河南,[666][666][666],0,7559867871112596762
79300514540,梦想成真qian,2025.10.11,河南,@敖丙一夫人。,0,7559867871112596762
4327325019415064,gjj,2025.10.11,江苏,[666][666][666],0,7559867871112596762
110878809816,用户56284683,2025.10.11,湖南,[玫瑰][玫瑰][尴尬流汗][尴尬流汗][杀马特][杀马特],0,7559867871112596762
77545379195,玖贰,2025.10.11,浙江,孤独和干啥,0,7559867871112596762
655733950002959,涵涵,2025.10.11,山东,666,0,7559867871112596762
104766621911,奥特曼578557755777🤎,2025.10.11,江苏,666,0,7559867871112596762
71576946449,幸运咖要幸运,2025.10.09,河南,想干啥 为什么不带我 我生气了,0,7559222726255775002
1002366132558764,炭烤小肥杨.,2025.10.09,河南,有幸和有村架纯合照了[图片表情],0,7559222726255775002
1481763626425908,沐沐I，💙💙，《好物推荐》,2025.10.10,福建,[玫瑰][玫瑰][玫瑰][爱心][爱心][爱心],1,7559408948286229769
7132482952,🔮ℒᎭℯ⃝江࿐마네키네코ꪮꪰꪤ💞💯,2025.10.10,韩国,[比心],0,7559408948286229769
7552081310510384188,我猫走走,2025.10.11,江苏,右下角放个蛋糕啥意思啊？,1,7559981409441385780
3400150333784104,4uoki,2025.10.11,辽宁,这个好米呀,0,7559812649359052089
3262959449541031,y༠°,2025.10.11,辽宁,呦哈,0,7559812649359052089
3474054709518589,如果你也听周柏豪,2025.10.11,辽宁,慧慧宝贝,0,7559812649359052089
2893556646152286,青鱼📸,2025.10.11,辽宁,也啧啧啧啧啧啧[抠鼻],0,7559812649359052089
2766806900280926,Klnln,2025.10.11,江西,又emo上了 丁,0,7559628718948977978
2080711509541725,小绵羊塔罗🍳疗愈,2025.10.11,福建,顶美,0,7559628718948977978
97800803344,Heokaiyee,2025.10.11,吉林,美神,0,7559628718948977978
1481763626425908,沐沐I，💙💙，《好物推荐》,2025.10.10,福建,优秀的作品总能让人赏心悦目👍👍👍,0,7559337477393304858
3203322809194896,东海第一烂皮jian狗敖丙,2025.10.11,河北,[图片表情],4,7559923103829396736
31207068545655,蛐蛐某人被封俩号,2025.10.11,内蒙古,"Up，up,up,哪吒就是小英雄，才不是什么魔童！[图片表情]",7,7559923103829396736
3203322809194896,东海第一烂皮jian狗敖丙,2025.10.11,河北,[图片表情],4,7559923103829396736
93470545771,东海第一烂皮筋敖丙李靖裤腰带,2025.10.11,江苏,[图片表情],7,7559923103829396736
